time,mag
1960-01,12
1960-02,8
1960-03,6
1960-04,9
1960-05,6
1960-06,4
1960-07,3
1960-08,12
1960-09,5
1960-10,12
1960-11,11
1960-12,9
1961-01,14
1961-02,10
1961-03,9
1961-04,9
1961-05,11
1961-06,3
1961-07,9
1961-08,16
1961-09,30
1961-10,31
1961-11,12
1961-12,8
1962-01,7
1962-02,19
1962-03,22
1962-04,20
1962-05,17
1962-06,14
1962-07,11
1962-08,13
1962-09,18
1962-10,23
1962-11,18
1962-12,26
1963-01,11
1963-02,8
1963-03,15
1963-04,13
1963-05,35
1963-06,14
1963-07,24
1963-08,14
1963-09,18
1963-10,27
1963-11,15
1963-12,11
1964-01,15
1964-02,20
1964-03,13
1964-04,9
1964-05,10
1964-06,14
1964-07,7
1964-08,11
1964-09,14
1964-10,19
1964-11,26
1964-12,13
1965-01,13
1965-02,13
1965-03,5
1965-04,18
1965-05,8
1965-06,26
1965-07,16
1965-08,20
1965-09,19
1965-10,11
1965-11,8
1965-12,19
1966-01,16
1966-02,9
1966-03,15
1966-04,12
1966-05,13
1966-06,36
1966-07,11
1966-08,20
1966-09,21
1966-10,12
1966-11,11
1966-12,5
1967-01,26
1967-02,9
1967-03,11
1967-04,10
1967-05,11
1967-06,13
1967-07,14
1967-08,20
1967-09,16
1967-10,10
1967-11,8
1967-12,10
1968-01,19
1968-02,12
1968-03,15
1968-04,115
1968-05,32
1968-06,36
1968-07,40
1968-08,15
1968-09,8
1968-10,17
1968-11,11
1968-12,20
1969-01,40
1969-02,14
1969-03,10
1969-04,12
1969-05,14
1969-06,23
1969-07,17
1969-08,20
1969-09,26
1969-10,67
1969-11,43
1969-12,28
1970-01,23
1970-02,14
1970-03,21
1970-04,8
1970-05,17
1970-06,9
1970-07,15
1970-08,12
1970-09,27
1970-10,13
1970-11,10
1970-12,13
1971-01,19
1971-02,278
1971-03,31
1971-04,23
1971-05,19
1971-06,23
1971-07,20
1971-08,20
1971-09,24
1971-10,28
1971-11,16
1971-12,15
1972-01,19
1972-02,13
1972-03,17
1972-04,18
1972-05,11
1972-06,12
1972-07,14
1972-08,5
1972-09,12
1972-10,12
1972-11,17
1972-12,18
1973-01,9
1973-02,20
1973-03,21
1973-04,13
1973-05,15
1973-06,18
1973-07,9
1973-08,16
1973-09,17
1973-10,20
1973-11,9
1973-12,9
1974-01,46
1974-02,59
1974-03,48
1974-04,43
1974-05,39
1974-06,63
