,Date,Magnitude,Large Event,time_diff
0,1960-01-02,4.25,0,
1,1960-01-03,3.9,0,
2,1960-01-04,4.24,0,
3,1960-01-05,3.4,0,
4,1960-01-06,3.47,0,
5,1960-01-09,3.08,0,
6,1960-01-10,3.67,0,
7,1960-01-11,3.26,0,
8,1960-01-14,3.46,0,
9,1960-01-15,3.59,0,
10,1960-01-16,3.76,0,
11,1960-01-17,3.67,0,
12,1960-01-18,3.2,0,
13,1960-01-20,3.47,0,
14,1960-01-21,3.07,0,
15,1960-01-23,3.62,0,
16,1960-01-25,3.75,0,
17,1960-01-26,3.52,0,
18,1960-01-28,3.09,0,
19,1960-01-29,3.1,0,
20,1960-01-30,3.34,0,
21,1960-01-31,3.3,0,
22,1960-02-01,3.32,0,
23,1960-02-02,4.06,0,
24,1960-02-03,4.05,0,
25,1960-02-04,3.08,0,
26,1960-02-05,3.39,0,
27,1960-02-07,3.37,0,
28,1960-02-08,3.61,0,
29,1960-02-10,3.72,0,
30,1960-02-11,3.19,0,
31,1960-02-12,3.59,0,
32,1960-02-13,3.0,0,
33,1960-02-14,3.24,0,
34,1960-02-15,4.17,0,
35,1960-02-16,3.6,0,
36,1960-02-17,3.05,0,
37,1960-02-18,3.25,0,
38,1960-02-19,4.68,0,
39,1960-02-20,4.17,0,
40,1960-02-21,3.5,0,
41,1960-02-22,3.26,0,
42,1960-02-23,3.01,0,
43,1960-02-24,3.3,0,
44,1960-02-25,3.15,0,
45,1960-02-26,3.03,0,
46,1960-02-28,3.61,0,
47,1960-02-29,3.77,0,
48,1960-03-03,4.44,0,
49,1960-03-04,3.13,0,
50,1960-03-05,3.54,0,
51,1960-03-07,3.48,0,
52,1960-03-08,4.44,0,
53,1960-03-09,3.0,0,
54,1960-03-10,4.49,0,
55,1960-03-11,4.51,0,
56,1960-03-12,4.35,0,
57,1960-03-13,3.58,0,
58,1960-03-14,3.19,0,
59,1960-03-16,3.25,0,
60,1960-03-17,4.56,0,
61,1960-03-18,3.68,0,
62,1960-03-19,3.05,0,
63,1960-03-20,3.31,0,
64,1960-03-21,3.83,0,
65,1960-03-22,3.06,0,
66,1960-03-24,4.09,0,
67,1960-03-25,3.28,0,
68,1960-03-26,4.4,0,
69,1960-03-27,3.3,0,
70,1960-03-28,5.22,0,
71,1960-03-29,3.22,0,
72,1960-03-30,4.47,0,
73,1960-03-31,3.12,0,
74,1960-04-01,3.66,0,
75,1960-04-02,3.67,0,
76,1960-04-04,3.16,0,
77,1960-04-05,3.27,0,
78,1960-04-06,3.59,0,
79,1960-04-07,3.07,0,
80,1960-04-08,3.86,0,
81,1960-04-10,3.85,0,
82,1960-04-12,3.65,0,
